Age,SSec_Category,Hobby,Education_Duration,Profession,Working_Hours,Investment,Loan,Dependents,Yearly_Breaks,Number_of_Siblings,City,Income,Debt_Paid,Id,Gender_F,Gender_M,Housing_Apartment,Housing_Bungalow,Housing_Condo,Housing_Slum,Housing_Trailer,Housing_Treehouse,Loan Status_Applied,Loan Status_Critical,Loan Status_EMI,Loan Status_In Search,Loan Status_Not Applied,Loan Status_Overdue,Loan Status_Paid,Loan Status_Pending,Marital_Status_Divorced,Marital_Status_Divorced with Children,Marital_Status_Engaged,Marital_Status_Married,Marital_Status_Separated,Marital_Status_Single,Employer_Kind_MNC,Employer_Kind_Self-employed,Employer_Kind_Startup,Country_Canada
37.0,4,9,14.0,0,0.0,2194.0,2000.0,2,1,3,38,75754.758,10706,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
48.0,4,9,14.0,3,15.0,20.0,2000.0,1,0,3,38,81891.629,21018,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
36.0,4,11,10.0,5,42.0,20.0,2000.0,2,1,3,38,210082.489,13139,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
51.0,2,1,8.0,5,42.0,20.0,2000.0,1,0,3,38,232032.185,35630,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
26.0,2,9,14.0,9,42.0,20.0,2000.0,6,1,3,4,339569.26200000005,12797,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
35.0,4,12,15.0,3,42.0,20.0,2000.0,6,1,4,38,287021.003,37365,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
50.0,4,11,10.0,3,0.0,20.0,2000.0,1,1,5,38,204372.868,45329,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
29.0,4,12,15.0,9,52.0,14104.0,2000.0,2,1,4,38,49185.366,25609,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40.0,4,9,14.0,3,42.0,5198.0,2000.0,1,0,2,38,161494.828,12858,9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
35.0,2,15,11.0,3,82.0,20.0,2000.0,1,1,4,38,280593.39,38551,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
21.0,4,9,14.0,0,32.0,20.0,2000.0,4,0,2,38,118373.254,42945,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
30.0,2,7,13.0,11,52.0,20.0,2000.0,2,1,4,38,199655.838,14951,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
38.0,1,8,12.0,2,0.0,20.0,2000.0,1,1,3,38,120373.518,49747,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
32.0,0,5,5.0,13,47.0,20.0,2000.0,1,0,2,25,237966.857,39469,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
23.0,4,11,10.0,4,37.0,20.0,2000.0,4,1,2,38,173245.30800000002,35273,16,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
30.0,4,11,10.0,6,42.0,20.0,2000.0,5,0,4,38,191407.498,43323,17,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
36.0,4,1,8.0,11,52.0,20.0,2000.0,1,0,2,38,29423.917,31773,18,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41.0,4,12,15.0,3,47.0,20.0,2000.0,5,1,4,38,298903.317,36752,19,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
