Role,Invested in Real Estate,Extra Hours,Invested in Stock Market,Favourite Sport,Gender,Languages Known,Sport Knowledge (in XP),Average no. of leaves/month,Trades Done,Married(1/0),Level of Education,Pay,ID Proof,Most Productive Hour,Tax Category,Income Category,Employer,Tax Paid,Id
1,1,0,1,6,0,1,64.0,2,56,0,2,2416.73,1,8,258,2,0,29597,0
0,1,0,1,3,0,3,2.0,0,42,1,0,302.73,1,8,148,2,0,49218,1
0,1,1,1,5,1,3,35.0,4,31,0,0,275.73,1,8,73,2,0,14764,2
0,1,0,1,4,0,4,70.0,1,45,0,2,1779.73,1,8,89,2,0,46868,3
1,0,0,1,5,1,3,25.0,5,31,1,2,274.73,1,8,195,2,0,21859,4
1,1,0,1,0,0,1,82.0,3,40,-1,2,275.73,1,8,377,2,0,23961,7
1,1,0,1,0,1,1,63.0,5,56,0,1,394.73,1,8,47,2,0,20364,8
1,1,0,1,5,1,3,0.0,1,41,1,0,866.73,1,8,52,2,0,27894,9
0,1,0,1,2,1,2,96.0,0,39,-1,0,543.73,1,8,219,2,0,26185,10
1,1,0,1,2,1,3,37.0,5,55,0,0,435.73,1,8,171,2,0,19323,14
1,1,0,1,0,1,3,5.0,3,49,0,1,502.73,1,8,350,2,0,22145,15
0,1,0,1,5,1,1,61.0,5,43,1,1,286.73,1,8,95,2,0,22664,16
0,1,0,1,3,0,2,62.0,4,58,0,1,333.73,1,8,216,2,0,34549,18
0,1,0,1,4,0,3,36.0,5,31,0,0,273.73,1,8,51,2,0,37884,19
1,1,1,1,6,0,2,84.0,0,26,0,0,996.73,1,8,259,2,0,16686,20
0,1,0,1,2,1,2,88.0,5,54,0,2,1052.73,1,8,161,2,0,26161,21
1,1,1,1,0,0,1,60.0,0,30,1,1,296.73,1,8,157,2,0,11107,22
0,1,0,1,2,0,1,80.0,4,23,0,0,323.73,1,8,339,2,0,32982,23
1,0,1,1,1,1,4,94.0,4,38,0,1,273.73,1,8,178,2,0,23819,24
0,1,0,1,5,1,4,1.0,0,42,0,0,98.27,1,8,169,2,0,29170,25
1,1,1,1,6,0,1,78.0,3,50,0,0,386.73,1,8,124,2,0,21026,27
1,1,0,1,1,0,3,22.0,0,44,1,0,27.73,1,8,252,2,0,39170,28
1,1,1,1,1,0,4,38.0,2,34,1,0,538.73,1,8,345,2,0,24343,29
1,0,1,1,6,0,4,48.0,2,55,0,0,10488.73,1,8,222,2,0,40402,30
0,1,0,1,0,0,1,62.0,1,47,0,2,651.73,1,8,227,2,0,11013,31
0,1,0,1,4,1,2,12.0,5,49,0,2,10908.73,1,8,333,2,0,23949,34
0,1,0,1,4,0,1,87.0,5,55,-1,0,336.73,1,8,239,2,0,45573,35
1,1,0,1,6,0,3,72.0,5,23,0,0,266.73,1,8,362,2,0,15795,36
1,0,0,1,2,0,2,89.0,4,51,0,0,270.73,1,8,1663,2,0,27899,37
0,1,0,1,1,1,3,58.0,0,35,1,0,273.73,1,8,134,2,0,44104,39
1,1,0,1,5,1,4,42.0,4,42,-1,0,2859.73,1,8,157,2,0,24208,40
0,1,0,1,0,0,4,50.0,2,58,0,0,377.73,1,8,19,2,0,19650,42
1,1,0,1,1,1,1,57.0,1,52,1,0,802.73,1,8,1489,2,0,41727,43
1,1,1,1,2,0,4,7.0,1,34,1,1,102.73,1,8,239,2,0,29453,45
1,1,0,1,0,0,2,53.0,4,56,0,2,90.27,1,8,352,2,0,12016,46
0,1,0,1,1,1,4,47.0,1,52,0,0,1564.73,1,8,263,2,0,10151,50
1,1,0,1,0,0,2,67.0,1,46,-1,2,29.73,1,8,250,2,0,22448,51
1,1,0,1,1,1,3,13.0,0,30,0,2,273.73,1,8,176,2,0,46814,52
0,1,0,1,2,0,3,58.0,5,40,1,0,197.73,1,8,784,2,0,30614,53
0,1,1,1,1,0,1,17.0,3,22,1,0,170.73,1,8,142,2,0,28923,54
0,0,1,1,2,1,4,30.0,2,36,1,2,516.73,1,8,171,2,0,16759,55
1,1,0,1,4,1,4,90.0,3,36,1,2,697.73,1,8,101,2,0,40919,56
1,1,0,1,0,0,2,71.0,3,44,1,1,452.73,1,8,1775,2,0,47655,59
0,1,0,1,4,0,4,38.0,5,51,-1,0,1262.73,1,8,809,2,0,21909,61
1,1,0,1,1,1,2,90.0,4,55,0,1,522.73,1,8,161,2,0,23780,62
1,1,0,1,1,1,2,49.0,5,47,0,1,427.73,1,8,354,2,0,35608,64
1,1,0,1,3,0,4,29.0,3,49,0,2,6803.73,1,8,88,2,0,49638,65
0,1,0,1,3,0,2,9.0,4,53,0,0,1478.73,1,8,155,2,0,32566,68
0,1,1,1,4,1,2,69.0,1,33,1,0,12496.73,1,8,174,2,0,35920,69
1,1,1,1,0,1,1,93.0,1,55,1,0,6208.73,1,8,255,2,0,23449,70
1,1,1,1,4,0,4,25.0,4,29,0,0,298.73,1,8,169,2,0,43305,71
1,0,1,1,2,0,4,41.0,3,42,0,0,855.73,1,8,208,2,0,29617,76
