Id,Occupation
5,8
6,0
11,7
12,8
13,10
17,10
26,0
32,10
33,10
38,7
41,6
44,0
47,7
48,6
49,0
57,7
58,0
60,0
63,7
66,10
67,0
72,7
73,6
74,7
75,7
78,6
80,7
81,7
82,4
87,6
88,3
89,10
92,10
95,0
96,3
98,4
100,7
101,7
103,10
104,0
106,0
107,6
111,3
112,7
115,4
119,10
121,6
123,6
124,0
128,3
132,7
134,0
136,6
137,4
138,7
139,7
140,7
142,0
143,7
148,7
149,7
150,7
151,7
154,7
158,7
162,3
164,7
166,0
178,3
180,0
188,6
192,0
193,7
196,7
202,7
208,7
209,7
210,7
214,7
217,7
222,4
225,7
229,6
236,6
242,7
244,0
253,7
255,7
257,6
259,7
263,0
266,0
277,6
285,7
291,3
293,0
295,7
313,3
314,0
318,7
320,7
321,0
322,3
325,0
327,0
331,7
333,0
341,3
342,7
344,0
348,0
350,0
357,0
364,4
368,0
372,7
376,3
380,7
386,10
390,3
393,7
396,3
398,7
401,3
404,3
409,7
410,3
411,7
419,7
423,7
428,0
436,7
440,7
442,7
443,3
445,3
447,4
449,7
450,7
452,0
454,7
457,7
458,7
465,10
467,7
468,7
470,6
471,7
472,0
473,3
478,4
481,7
482,7
486,4
487,0
493,0
498,7
503,7
504,7
505,7
508,10
509,4
513,7
515,6
518,7
519,0
524,7
531,7
533,0
539,7
544,4
549,3
550,3
558,3
562,7
571,7
572,7
573,7
574,7
576,7
577,6
579,7
587,7
588,6
590,7
598,7
599,7
601,7
602,0
605,7
607,7
610,4
612,7
613,7
616,0
621,3
622,7
624,7
630,3
634,0
636,7
639,7
640,2
641,7
647,3
648,0
649,7
651,4
652,0
659,7
661,7
662,4
663,7
667,7
670,7
671,7
674,0
675,0
679,7
684,0
687,7
688,8
692,3
695,0
699,0
703,4
705,7
708,4
711,4
717,3
720,6
725,10
726,3
731,7
732,7
733,0
734,7
737,7
751,7
753,0
754,7
757,0
758,7
769,7
770,7
774,0
778,7
784,0
790,7
793,6
795,0
799,7
802,7
803,7
804,7
808,10
812,7
814,10
815,7
817,0
820,3
821,7
823,7
829,4
831,7
836,4
837,7
839,4
845,7
847,7
850,7
853,7
859,6
868,0
870,3
873,7
