Id,Occupation
5,8
6,8
11,3
12,10
13,10
17,7
26,8
32,7
33,7
38,3
41,7
44,0
47,2
48,3
49,8
57,7
58,8
60,0
63,7
66,0
67,0
72,7
73,7
74,7
75,7
78,4
80,3
81,4
82,7
87,3
88,3
89,7
92,10
95,0
96,7
98,7
100,7
101,7
103,10
104,1
106,0
107,7
111,3
112,7
115,7
119,7
121,3
123,7
124,0
128,3
132,3
134,1
136,3
137,3
138,7
139,7
140,7
142,0
143,7
148,7
149,7
150,7
151,3
154,7
158,3
162,4
164,7
166,0
178,7
180,0
188,3
192,0
193,7
196,7
202,7
208,7
209,7
210,7
214,7
217,7
222,3
225,7
229,3
236,3
242,3
244,0
253,6
255,7
257,3
259,7
263,0
266,0
277,7
285,7
291,7
293,0
295,7
313,3
314,0
318,7
320,7
321,0
322,7
325,2
327,0
331,7
333,0
341,3
342,7
344,0
348,0
350,0
357,0
364,10
368,0
372,7
376,7
380,7
386,2
390,3
393,7
396,3
398,7
401,7
404,7
409,7
410,3
411,7
419,3
423,7
428,0
436,7
440,7
442,7
443,5
445,3
447,7
449,7
450,7
452,0
454,7
457,7
458,3
465,10
467,7
468,7
470,6
471,7
472,0
473,7
478,7
481,7
482,7
486,3
487,0
493,0
498,7
503,7
504,7
505,7
508,10
509,7
513,7
515,0
518,7
519,0
524,7
531,7
533,0
539,7
544,3
549,7
550,3
558,3
562,7
571,7
572,7
573,7
574,7
576,7
577,7
579,7
587,7
588,3
590,7
598,0
599,2
601,7
602,0
605,7
607,7
610,0
612,7
613,1
616,0
621,6
622,7
624,7
630,3
634,0
636,7
639,7
640,7
641,7
647,7
648,0
649,7
651,4
652,0
659,7
661,7
662,3
663,7
667,3
670,7
671,3
674,0
675,0
679,7
684,0
687,7
688,0
692,7
695,0
699,0
703,3
705,7
708,7
711,3
717,7
720,3
725,10
726,3
731,7
732,7
733,0
734,7
737,10
751,7
753,0
754,3
757,0
758,10
769,7
770,7
774,0
778,7
784,0
790,7
793,3
795,0
799,7
802,7
803,7
804,7
808,7
812,7
814,7
815,7
817,0
820,10
821,7
823,7
829,0
831,7
836,6
837,7
839,3
845,7
847,7
850,3
853,7
859,7
868,0
870,3
873,7
875,7
878,7
880,7
882,0
884,0
885,0
892,0
895,10
902,7
905,0
906,3
908,7
911,7
915,7
916,0
917,3
920,3
923,0
928,7
930,7
931,7
932,7
933,7
935,7
940,7
944,7
945,7
949,7
950,7
951,7
952,7
955,0
956,7
958,7
959,7
960,0
970,6
971,7
973,10
974,7
975,7
980,7
981,2
988,2
989,2
996,7
999,7
1001,7
1008,7
1012,7
1014,3
1017,7
1023,0
1024,7
1027,0
1028,7
1037,10
1038,7
1050,7
1051,7
1052,7
1061,10
1065,0
1074,7
1076,7
1079,0
1092,0
1103,7
1104,3
1108,7
1110,7
1116,7
1126,7
1133,7
1138,7
1139,7
1142,7
1143,7
1145,7
1147,7
1148,3
1152,0
1153,3
1156,7
1160,7
1161,7
1163,7
1167,3
1170,7
1171,7
1177,7
1180,3
1182,3
1191,0
1192,7
1194,0
1201,7
1207,7
1210,0
1211,7
1217,7
1219,7
1221,7
1223,7
1224,7
1229,7
1230,3
1232,7
1238,7
1243,7
1249,0
1253,0
1258,7
1262,6
1269,0
1271,7
1277,7
1278,7
1280,7
1281,7
1282,0
1283,7
1285,0
1287,7
1288,7
1289,7
1290,11
1295,7
1297,7
1301,7
1303,0
1304,0
1306,7
1311,7
1324,7
1325,7
1339,11
1343,7
1355,7
1361,7
1364,7
1368,7
1369,7
1371,7
1372,0
1373,7
1381,3
1383,0
1384,7
1386,7
1387,0
1393,7
1396,7
1397,7
1398,7
1402,7
1408,7
1410,7
1416,0
1422,7
1425,7
1441,6
1442,7
1445,10
1451,7
1453,7
1454,7
1458,7
1459,7
1462,7
1468,7
1483,0
1488,7
1489,7
1491,7
1492,7
1495,7
1497,7
1498,7
1499,7
1506,0
1507,7
1508,7
1517,7
1521,7
1531,0
1534,7
1535,7
1539,7
1540,0
1541,10
1542,7
1544,7
1547,7
1554,7
1557,7
1558,0
1560,0
1568,7
1571,0
1592,3
1596,7
1603,0
1604,7
1605,7
1606,7
1607,3
1608,7
1609,0
1611,7
1619,7
1623,3
1624,7
1628,3
1636,7
1637,7
1639,7
1641,7
1649,7
1654,6
1655,7
1660,7
1661,3
1662,4
1663,7
1668,7
1671,7
1672,0
1675,7
1679,3
1681,7
1682,0
1683,3
1684,7
1688,7
1690,7
1691,7
1692,3
1694,7
1695,7
1697,0
1700,0
1701,7
1702,0
1710,10
1721,3
1723,0
1727,10
1732,7
1733,7
1735,7
1737,7
1739,7
1741,3
1742,7
1743,2
1745,5
1746,7
1749,7
1751,7
1753,7
1754,7
1756,7
1757,3
1758,7
1759,7
1760,7
1764,3
1765,10
1766,3
1772,7
1773,7
1775,7
1776,0
1777,7
1781,0
1787,0
1792,7
1798,7
1801,3
1806,7
1808,0
1812,0
1814,0
1819,7
1821,7
1823,7
1824,3
1827,7
1831,7
1832,3
1833,0
1836,8
1837,3
1839,7
1840,7
1847,0
1848,7
1851,7
1852,7
1856,7
1863,7
1864,3
1868,7
1876,0
1877,7
1888,0
1889,3
1890,0
1898,6
1899,7
1904,7
1908,7
1911,7
1912,7
1913,7
1914,3
1923,7
1924,7
1926,7
1928,0
1931,7
1932,0
1937,7
1939,0
1944,7
1948,0
1951,7
1952,7
1957,7
1966,7
1967,7
1968,3
1970,7
1971,7
1973,0
1974,7
1977,7
1981,0
1995,7
1998,7
2001,7
2002,0
2006,7
2010,7
2012,7
2016,0
2018,7
2019,0
2022,0
2026,7
2027,7
2028,7
2034,10
2038,7
2041,3
2042,7
2045,7
2052,3
2058,7
2060,0
2067,7
2068,7
2071,7
2075,10
2084,7
2086,0
2090,3
2094,7
2095,4
2098,7
2102,7
2104,7
2106,0
2108,0
2109,0
2113,7
2115,7
2119,10
2122,3
2125,7
2126,7
2130,7
2135,7
2138,3
2147,7
2150,10
2153,10
2156,7
2174,0
2176,7
2177,7
2184,7
2187,7
2192,0
2193,7
2194,4
2197,7
2198,7
2201,7
2207,7
2213,7
2214,7
2215,7
2216,7
2228,7
2230,7
2233,7
2239,7
2247,4
2248,0
2249,7
2253,7
2258,7
2262,7
2266,0
2267,0
2268,3
2270,7
2276,0
2280,7
2285,0
2286,7
2290,0
2291,10
2292,0
2293,7
2296,3
2298,0
2304,7
2316,7
2320,7
2321,0
2326,3
2327,7
2335,7
2338,3
2339,5
2341,7
2342,7
2343,3
2345,7
2348,7
2349,7
