Id,Occupation
5,4
6,4
11,3
12,3
13,7
17,3
26,0
32,3
33,4
38,3
41,3
44,7
47,7
48,7
49,0
57,4
58,3
60,7
63,0
66,7
67,3
72,4
73,3
74,0
75,7
78,3
80,3
81,3
82,7
87,7
88,4
89,4
92,7
95,6
96,3
98,0
100,7
101,7
103,0
104,7
106,7
107,4
111,7
112,4
115,7
119,3
121,4
123,0
124,7
128,3
132,3
134,7
136,0
137,3
138,4
139,3
140,7
142,6
143,0
148,4
149,3
150,4
151,3
154,10
158,7
162,7
164,4
166,4
178,7
180,4
188,3
192,0
193,4
196,3
202,0
208,4
209,3
210,3
214,0
217,6
222,8
225,3
229,7
236,3
242,7
244,6
253,6
255,7
257,0
259,0
263,7
266,4
277,7
285,3
291,7
293,0
295,0
313,1
314,3
318,0
320,7
321,6
322,0
325,6
327,7
331,6
333,7
341,0
342,7
344,4
348,0
350,7
357,0
364,3
368,4
372,7
376,7
380,0
386,1
390,7
393,0
396,0
398,7
401,4
404,6
409,6
410,3
411,6
419,7
423,3
428,7
436,3
440,6
442,7
443,7
445,7
447,7
449,7
450,4
452,7
454,7
457,3
458,7
465,3
467,7
468,0
470,3
471,7
472,0
473,7
478,7
481,4
482,3
486,0
487,7
493,4
498,7
503,3
504,3
505,6
508,3
509,7
513,6
515,6
518,7
519,0
524,4
531,4
533,0
539,3
544,0
549,3
550,7
558,7
562,0
571,7
572,7
573,7
574,7
576,7
577,7
579,3
587,7
588,0
590,1
598,1
599,0
601,3
602,6
605,3
607,6
610,6
612,0
613,4
616,7
621,0
622,0
624,4
630,0
634,7
636,7
639,3
640,3
641,4
647,3
648,7
649,0
651,0
652,7
659,3
661,3
662,0
663,7
667,7
670,0
671,7
674,7
675,6
679,7
684,7
687,1
688,7
692,7
695,7
699,6
703,7
705,7
708,7
711,7
717,0
720,4
725,7
726,4
731,0
732,0
733,7
734,7
737,7
751,3
753,7
754,0
757,0
758,7
769,0
770,7
774,7
778,4
784,7
790,7
793,4
795,7
799,6
802,7
803,4
804,7
808,4
812,7
814,7
815,7
817,7
820,3
821,4
823,4
829,6
831,4
836,7
837,4
839,3
845,4
847,7
850,7
853,7
859,3
868,7
870,6
873,7
875,6
878,7
880,4
