Id,Occupation
5,7
6,7
11,6
12,7
13,7
17,7
26,0
32,6
33,7
38,7
41,7
44,7
47,7
48,7
49,0
57,7
58,0
60,7
63,7
66,11
67,7
72,6
73,7
74,7
75,7
78,6
80,5
81,11
82,6
87,6
88,6
89,7
92,7
95,8
96,7
98,7
100,6
101,11
103,8
104,11
106,7
107,6
111,6
112,8
115,7
119,11
121,7
123,6
124,9
128,11
132,6
134,0
136,6
137,5
138,7
139,7
140,7
142,11
143,7
148,7
149,8
150,7
151,6
154,11
158,6
162,6
164,7
166,0
178,7
180,7
188,6
192,7
193,7
196,7
202,7
208,0
209,7
210,7
214,7
217,11
222,7
225,7
229,7
236,7
242,11
244,8
253,7
255,8
257,6
259,7
263,7
266,0
277,11
285,6
291,6
293,11
295,7
313,6
314,11
318,11
320,7
321,7
322,7
325,11
327,7
331,7
333,0
341,7
342,7
344,8
348,7
350,0
357,0
364,7
368,7
372,11
376,6
380,7
386,7
390,3
393,6
396,6
398,6
401,6
404,11
409,6
410,6
411,7
419,7
423,7
428,0
436,11
440,7
442,7
443,6
445,7
447,7
449,7
450,7
452,7
454,6
457,6
458,5
465,6
467,7
468,7
470,7
471,0
472,7
473,7
478,6
481,7
482,6
486,6
487,8
493,11
498,7
503,7
504,7
505,7
508,11
509,6
513,8
515,6
518,6
519,0
524,7
531,7
533,0
539,7
544,6
549,7
550,6
558,7
562,7
571,7
572,7
573,11
574,11
576,7
577,7
579,7
587,7
588,6
590,6
598,11
599,7
601,7
602,0
605,6
607,8
610,0
612,7
613,6
616,8
621,6
622,7
624,11
630,7
634,8
636,7
639,6
640,6
641,8
647,6
648,7
649,6
651,6
652,7
659,7
661,6
662,6
663,7
667,6
670,7
671,6
674,0
675,7
679,7
684,8
687,6
688,7
692,6
695,7
699,8
703,7
705,11
708,7
711,7
717,7
720,11
725,7
726,7
731,7
732,7
733,8
734,7
737,11
751,7
753,11
754,6
757,7
758,6
769,7
770,7
774,0
778,8
784,7
790,6
793,6
795,8
799,7
802,7
803,6
804,11
808,0
812,8
814,11
815,8
817,7
820,6
821,7
823,0
829,0
831,0
836,6
837,7
839,7
845,7
847,7
850,6
853,7
859,6
868,0
870,7
873,0
875,7
878,7
880,11
882,8
884,0
885,7
892,8
895,8
902,6
905,7
906,6
908,11
911,6
915,6
916,0
917,6
920,6
923,0
928,11
930,8
931,11
932,6
933,7
935,7
940,7
944,11
945,7
949,6
950,6
951,7
952,7
955,7
956,6
958,7
959,7
960,8
970,7
971,7
973,7
974,7
975,6
980,7
981,6
988,11
989,0
996,7
999,5
1001,11
1008,11
1012,6
1014,7
1017,6
1023,8
1024,11
1027,11
1028,7
1037,11
1038,11
1050,7
1051,7
1052,6
1061,6
1065,7
1074,7
1076,7
1079,7
1092,7
1103,7
1104,5
1108,7
1110,6
1116,7
1126,7
1133,6
1138,7
1139,7
1142,7
1143,6
1145,7
1147,7
1148,7
1152,7
1153,6
1156,7
1160,11
1161,7
1163,6
1167,7
1170,8
1171,6
1177,7
1180,7
1182,6
1191,7
1192,11
1194,8
1201,6
1207,7
1210,0
1211,7
1217,6
1219,6
1221,6
1223,7
1224,11
1229,7
1230,7
1232,7
1238,7
1243,7
1249,11
1253,8
1258,7
1262,6
1269,7
1271,7
1277,11
1278,7
1280,6
1281,7
1282,7
1283,7
1285,0
1287,6
1288,6
1289,7
1290,6
1295,7
1297,11
1301,7
1303,11
1304,11
1306,7
1311,6
1324,6
1325,7
1339,7
1343,6
1355,6
1361,7
1364,7
1368,11
1369,7
1371,7
1372,5
1373,7
1381,11
1383,11
1384,6
1386,8
1387,11
1393,7
1396,6
1397,8
1398,7
1402,6
1408,6
1410,5
1416,10
1422,7
1425,7
1441,6
1442,5
1445,7
1451,7
1453,7
1454,6
1458,0
1459,8
1462,10
1468,6
1483,11
1488,11
1489,7
1491,7
1492,7
1495,7
1497,7
1498,7
1499,7
1506,7
1507,6
1508,6
1517,7
1521,8
1531,0
1534,6
1535,8
1539,7
1540,7
1541,8
1542,11
1544,6
1547,6
1554,7
1557,7
1558,7
1560,11
1568,7
1571,0
1592,6
1596,7
1603,8
1604,7
1605,7
1606,7
1607,7
1608,7
1609,0
1611,8
1619,6
1623,7
1624,0
1628,7
1636,8
1637,7
1639,7
1641,6
1649,6
1654,6
1655,7
1660,6
1661,11
1662,7
1663,7
1668,7
1671,3
1672,0
1675,7
1679,6
1681,6
1682,8
1683,11
1684,7
1688,3
1690,6
1691,5
1692,6
1694,0
1695,7
1697,7
1700,0
1701,6
1702,11
1710,6
1721,7
1723,0
1727,7
1732,11
1733,6
1735,11
1737,6
1739,7
1741,11
1742,6
1743,6
1745,6
1746,6
1749,6
1751,7
1753,11
1754,6
1756,6
1757,6
1758,6
1759,7
1760,11
1764,7
1765,7
1766,6
1772,8
1773,6
1775,8
1776,11
1777,6
1781,0
1787,11
1792,8
1798,6
1801,6
1806,5
1808,11
1812,7
1814,0
1819,7
1821,6
1823,6
1824,6
1827,7
1831,6
1832,10
1833,11
1836,5
1837,7
1839,6
1840,7
1847,0
1848,11
1851,6
1852,7
1856,7
1863,10
1864,5
1868,6
1876,7
1877,6
1888,11
1889,7
1890,8
1898,6
1899,8
1904,11
1908,8
1911,6
1912,6
1913,6
1914,6
1923,6
1924,6
1926,7
1928,11
1931,6
1932,0
1937,0
1939,0
1944,6
1948,7
1951,7
1952,11
1957,6
1966,7
1967,6
1968,6
1970,6
1971,7
1973,11
1974,0
1977,11
1981,0
1995,6
1998,7
2001,7
2002,0
2006,6
2010,0
2012,11
2016,7
2018,7
2019,0
2022,11
2026,7
2027,6
2028,7
2034,6
2038,7
2041,6
2042,11
2045,7
2052,5
2058,11
2060,7
2067,6
2068,11
2071,7
2075,7
2084,11
2086,7
2090,7
2094,6
2095,11
2098,6
2102,7
2104,11
2106,0
2108,0
2109,0
2113,6
2115,0
2119,7
2122,7
2125,7
2126,6
2130,6
2135,7
2138,11
2147,6
2150,7
2153,7
2156,6
2174,0
2176,8
2177,8
2184,6
2187,6
2192,9
2193,7
2194,6
2197,7
2198,6
2201,6
2207,0
2213,6
2214,7
2215,6
2216,7
2228,6
2230,6
2233,6
2239,6
2247,6
2248,7
2249,7
2253,6
2258,6
2262,7
2266,7
2267,0
2268,11
2270,6
2276,7
2280,7
2285,7
2286,7
2290,0
2291,0
2292,8
2293,7
2296,5
2298,0
2304,11
2316,7
2320,11
2321,7
2326,6
2327,0
2335,6
2338,6
2339,6
2341,6
2342,7
2343,6
2345,7
2348,7
2349,7
2356,6
2358,6
2363,6
2364,7
2372,7
2380,6
2382,6
2383,6
2390,7
2391,6
2392,11
2393,6
2394,0
2395,6
2396,6
2398,7
2414,6
2416,7
2419,8
2420,0
2423,6
2441,6
2442,7
2446,7
2452,7
2454,7
2456,8
2458,7
2459,6
2463,7
2468,7
2470,7
2476,7
2477,6
2484,11
2489,8
2491,6
2494,0
2496,11
2499,8
2511,6
2512,6
2513,8
2514,6
2517,7
2518,7
2522,11
2527,6
2529,7
2531,7
2532,11
2533,6
2535,11
2536,11
2540,8
2546,9
2553,7
2557,6
2559,7
2560,7
2565,7
2569,7
2570,7
2572,6
2577,6
2578,6
2579,7
2581,7
2582,7
2583,11
2585,7
2590,7
2593,7
2594,6
2595,7
2596,6
2598,7
2599,8
2602,7
2606,7
2607,6
2608,0
2609,7
2610,7
2611,7
2613,7
2616,11
2621,6
2622,6
2625,8
2627,7
2631,7
2637,7
2642,7
2645,6
2646,8
2658,7
2660,6
2665,7
2670,11
2671,7
2672,6
2673,7
2679,0
2683,7
2685,7
2686,7
2687,7
2688,7
2694,8
2705,8
2709,10
2712,6
2713,6
2714,8
2716,7
2717,7
2719,6
2720,3
2721,6
2723,7
2725,0
2726,0
2727,11
2729,6
2730,6
2742,6
2746,0
2748,6
2754,6
2755,7
2756,6
2757,5
2758,6
2759,7
2760,7
2762,11
2764,6
2765,6
2773,7
2778,7
2783,11
2792,7
2793,7
2796,7
2799,10
2800,11
2803,7
2804,7
2811,6
2815,7
2816,0
2821,5
2825,7
2827,8
2828,7
2832,7
2838,6
2843,11
2845,6
2846,6
2865,3
2868,6
2869,7
2870,3
2876,11
2879,11
2880,6
2889,0
2894,7
