Id,Occupation
5,0
6,0
11,5
12,3
13,10
17,10
26,0
32,10
33,10
38,3
41,3
44,8
47,8
48,3
49,5
57,7
58,0
60,1
63,7
66,11
67,0
72,10
73,7
74,7
75,10
78,3
80,11
81,3
82,3
87,2
88,8
89,10
92,10
95,0
96,10
98,7
100,6
101,10
103,10
104,5
106,0
107,6
111,3
112,10
115,7
119,10
121,3
123,6
124,8
128,6
132,6
134,5
136,3
137,3
138,7
139,7
140,10
142,11
143,6
148,7
149,10
150,3
151,3
154,7
158,6
162,6
164,7
166,0
178,10
180,8
188,6
192,8
193,7
196,7
202,3
208,7
209,6
210,6
214,7
217,11
222,6
225,7
229,10
236,10
242,3
244,0
253,3
255,7
257,11
259,6
263,0
266,0
277,6
285,3
291,10
293,0
295,7
313,6
314,0
318,11
320,3
321,0
322,7
325,8
327,0
331,6
333,10
341,3
342,3
344,0
348,0
350,0
357,0
364,10
368,0
372,6
376,6
380,7
386,10
390,10
393,6
396,3
398,6
401,8
404,6
409,6
410,3
411,7
419,3
423,7
428,0
436,6
440,7
442,7
443,3
445,6
447,6
449,7
450,7
452,0
454,7
457,7
458,3
465,10
467,7
468,6
470,3
471,7
472,8
473,7
478,6
481,6
482,7
486,3
487,10
493,0
498,6
503,7
504,6
505,7
508,10
509,5
513,7
515,6
518,3
519,0
524,7
531,7
533,0
539,7
544,3
549,3
550,3
558,3
562,7
571,10
572,7
573,3
574,10
576,10
577,6
579,6
587,7
588,3
590,3
598,0
599,2
601,7
602,0
605,6
607,7
610,5
612,10
613,10
616,1
621,3
622,6
624,6
630,10
634,8
636,10
639,6
640,3
641,7
647,3
648,1
649,7
651,3
652,1
659,6
661,3
662,6
663,2
667,6
670,7
671,6
674,0
675,0
679,6
684,8
687,10
688,8
692,7
695,1
699,10
703,3
705,7
708,3
711,3
717,3
720,10
725,10
726,6
731,6
732,6
733,8
734,3
737,10
751,10
753,10
754,6
757,0
758,10
769,7
770,6
774,0
778,7
784,8
790,3
793,6
795,8
799,8
802,7
803,6
804,7
808,10
812,7
814,11
815,7
817,0
820,10
821,6
823,7
829,1
831,7
836,3
837,6
839,6
845,7
847,7
850,3
853,7
859,3
868,0
870,3
873,7
875,7
878,6
880,6
882,0
884,0
885,1
892,0
895,10
902,6
905,8
906,3
908,3
911,6
915,6
916,0
917,5
920,3
923,0
928,3
930,10
931,6
932,6
933,7
935,7
940,6
944,6
945,7
949,3
950,6
951,7
952,7
955,0
956,6
958,6
959,7
960,0
970,6
971,7
973,10
974,7
975,6
980,7
981,6
988,6
989,7
996,7
999,3
1001,6
1008,7
1012,3
1014,3
1017,6
1023,0
1024,11
1027,0
1028,7
1037,10
1038,3
1050,6
1051,6
1052,5
1061,10
1065,0
1074,7
1076,7
1079,0
1092,0
1103,6
1104,5
1108,10
1110,3
1116,7
1126,7
1133,6
1138,7
1139,7
1142,7
1143,7
1145,7
1147,7
1148,6
1152,0
1153,10
1156,7
1160,7
1161,7
1163,3
1167,6
1170,7
1171,6
1177,2
1180,6
1182,3
1191,0
1192,7
1194,0
1201,5
1207,7
1210,0
1211,7
1217,3
1219,3
1221,3
1223,6
1224,6
1229,7
1230,6
1232,3
1238,3
1243,6
1249,0
1253,0
1258,7
1262,6
1269,10
1271,6
1277,10
1278,7
1280,3
1281,7
1282,0
1283,7
1285,0
1287,6
1288,5
1289,6
1290,5
1295,3
1297,6
1301,7
1303,0
1304,0
1306,10
1311,3
1324,7
1325,6
1339,7
1343,6
1355,7
1361,6
1364,7
1368,3
1369,7
1371,6
1372,0
1373,7
1381,3
1383,0
1384,7
1386,7
1387,0
1393,7
1396,3
1397,7
1398,7
1402,6
1408,7
1410,5
1416,0
1422,7
1425,7
1441,6
1442,6
1445,10
1451,7
1453,7
1454,3
1458,7
1459,7
1462,7
1468,7
1483,0
1488,9
1489,6
1491,7
1492,10
1495,10
1497,7
1498,7
1499,3
1506,8
1507,3
1508,3
1517,7
1521,7
1531,0
1534,7
1535,7
1539,7
1540,0
1541,10
1542,9
1544,3
1547,10
1554,2
1557,6
1558,1
1560,0
1568,7
1571,0
1592,6
1596,7
1603,0
1604,7
1605,7
1606,7
1607,3
1608,7
1609,0
1611,7
1619,3
1623,3
1624,7
1628,3
1636,7
1637,7
1639,6
1641,6
1649,7
1654,3
1655,7
1660,3
1661,6
1662,6
1663,7
1668,7
1671,7
1672,1
1675,6
1679,6
1681,3
1682,8
1683,3
1684,7
1688,7
1690,6
1691,5
1692,5
1694,7
1695,7
1697,0
1700,0
1701,5
1702,0
1710,10
1721,6
1723,5
1727,10
1732,7
1733,5
1735,3
1737,3
1739,6
