Id,Occupation
5,8
6,8
11,6
12,7
13,11
17,9
26,8
32,7
33,11
38,6
41,7
44,9
47,7
48,7
49,1
57,7
58,8
60,8
63,7
66,11
67,9
72,7
73,11
74,7
75,7
78,6
80,11
81,6
82,7
87,6
88,6
89,7
92,11
95,8
96,7
98,7
100,7
101,11
103,11
104,1
106,8
107,6
111,6
112,7
115,7
119,11
121,7
123,7
124,8
128,6
132,6
134,1
136,6
137,6
138,7
139,7
140,9
142,11
143,7
148,7
149,7
150,7
151,6
154,11
158,7
162,7
164,7
166,11
178,7
180,8
188,6
192,11
193,7
196,7
202,7
208,7
209,7
210,7
214,7
217,11
222,6
225,7
229,7
236,7
242,7
244,8
253,6
255,7
257,6
259,7
263,8
266,8
277,11
285,6
291,7
293,11
295,9
313,6
314,11
318,11
320,7
321,8
322,7
325,11
327,8
331,7
333,11
341,6
342,7
344,8
348,8
350,8
357,1
364,7
368,8
372,6
376,6
380,7
386,11
390,10
393,6
396,7
398,6
401,7
404,11
409,7
410,6
411,7
419,6
423,7
428,8
436,7
440,7
442,7
443,6
445,7
447,7
449,7
450,7
452,8
454,7
457,6
458,6
465,11
467,7
468,7
470,7
471,7
472,8
473,7
478,6
481,7
482,7
486,6
487,8
493,11
498,7
503,6
504,7
505,7
508,11
509,6
513,7
515,6
518,6
519,8
524,7
531,7
533,8
539,7
544,7
549,7
550,6
558,6
562,7
571,7
572,7
573,11
574,11
576,7
577,7
579,7
587,7
588,6
590,6
598,11
599,7
601,7
602,8
605,7
607,7
610,1
612,9
613,7
616,8
621,6
622,7
624,6
630,11
634,8
636,9
639,7
640,7
641,7
647,6
648,8
649,7
651,6
652,8
659,7
661,7
662,6
663,6
667,7
670,7
671,6
674,1
675,8
679,7
684,8
687,7
688,8
692,6
695,8
699,8
703,7
705,9
708,7
711,6
717,7
720,11
725,11
726,7
731,7
732,7
733,8
734,7
737,11
751,7
753,11
754,6
757,8
758,7
769,7
770,7
774,11
778,7
784,11
790,6
793,6
795,8
799,7
802,7
803,6
804,6
808,11
812,7
814,11
815,7
817,1
820,6
821,7
823,7
829,1
831,7
836,6
837,7
839,6
845,7
847,7
850,6
853,6
859,6
868,8
870,6
873,7
875,7
878,6
880,6
882,8
884,8
885,8
892,8
895,9
902,7
905,8
906,6
908,11
911,6
915,6
916,8
917,6
920,10
923,1
928,11
930,7
931,6
932,7
933,7
935,7
940,7
944,6
945,7
949,6
950,6
951,7
952,7
955,8
956,6
958,7
959,7
960,1
970,6
971,7
973,7
974,7
975,6
980,7
981,6
988,7
989,7
996,7
999,6
1001,11
1008,7
1012,7
1014,6
1017,7
1023,8
1024,11
1027,11
1028,7
1037,11
1038,7
1050,7
1051,7
1052,6
1061,11
1065,1
1074,7
1076,7
1079,8
1092,8
1103,7
1104,6
1108,9
1110,7
1116,7
1126,7
1133,7
1138,6
1139,11
1142,7
1143,6
1145,7
1147,7
1148,7
1152,8
1153,7
1156,7
1160,6
1161,7
1163,6
1167,6
1170,7
1171,7
1177,7
1180,6
1182,6
1191,8
1192,7
1194,8
1201,6
1207,7
1210,11
1211,7
1217,6
1219,7
1221,6
1223,6
1224,7
1229,7
1230,6
1232,7
1238,7
1243,7
1249,11
1253,8
1258,7
1262,6
1269,9
1271,7
1277,11
1278,7
1280,6
1281,7
1282,8
1283,7
1285,8
1287,6
1288,6
1289,7
1290,6
1295,7
1297,11
1301,7
1303,11
1304,11
1306,7
1311,6
1324,6
1325,7
1339,0
1343,7
1355,6
1361,7
1364,7
1368,6
1369,7
1371,7
1372,1
1373,7
1381,6
1383,11
1384,6
1386,7
1387,11
1393,7
1396,6
1397,7
1398,7
1402,6
1408,6
1410,6
1416,2
1422,7
1425,7
1441,6
1442,6
1445,9
1451,9
1453,7
1454,7
1458,7
1459,7
1462,7
1468,6
1483,11
1488,11
1489,7
1491,7
1492,11
1495,11
1497,7
1498,7
1499,7
1506,8
1507,6
1508,6
1517,7
1521,7
1531,1
1534,6
1535,7
1539,7
1540,8
1541,9
1542,11
1544,6
1547,7
1554,7
1557,7
1558,8
1560,11
1568,7
1571,1
1592,6
1596,7
1603,8
1604,7
1605,7
1606,7
1607,6
1608,7
1609,1
1611,7
1619,6
1623,7
1624,7
1628,6
1636,7
1637,7
1639,6
1641,7
1649,7
1654,6
1655,7
1660,6
1661,11
1662,6
1663,6
1668,7
1671,6
1672,8
1675,7
1679,6
1681,6
1682,8
1683,6
1684,7
1688,6
1690,6
1691,6
1692,6
1694,7
1695,7
1697,8
1700,11
1701,6
1702,11
1710,11
1721,6
1723,1
1727,7
1732,6
1733,6
1735,6
1737,7
1739,7
1741,6
1742,6
1743,6
1745,6
1746,6
1749,6
1751,7
1753,6
1754,6
1756,6
1757,6
1758,6
1759,7
1760,11
1764,7
1765,9
1766,6
1772,7
1773,6
1775,7
1776,11
1777,6
1781,1
1787,11
1792,7
1798,7
1801,6
1806,6
1808,5
1812,1
1814,1
1819,7
1821,6
1823,6
1824,6
1827,7
1831,6
1832,6
1833,11
1836,6
1837,7
1839,6
1840,7
1847,1
1848,6
1851,6
1852,7
1856,7
1863,7
1864,6
1868,6
1876,8
1877,7
1888,11
1889,6
1890,8
1898,6
1899,6
1904,6
1908,7
1911,6
1912,6
1913,6
1914,6
1923,6
1924,6
1926,7
1928,11
1931,6
1932,1
1937,7
1939,1
1944,6
1948,8
1951,6
1952,6
1957,6
1966,7
1967,6
1968,6
1970,6
1971,7
1973,11
1974,7
1977,7
1981,8
1995,7
1998,7
2001,7
2002,8
2006,6
2010,7
2012,7
2016,8
2018,7
2019,8
2022,11
2026,7
2027,6
2028,7
2034,11
2038,7
2041,6
2042,7
2045,7
2052,11
2058,11
2060,1
2067,7
2068,6
2071,7
2075,9
2084,11
2086,8
2090,6
2094,6
2095,7
2098,6
2102,6
2104,11
2106,1
2108,1
2109,8
2113,6
2115,7
2119,11
2122,6
2125,9
2126,6
2130,6
2135,7
2138,6
2147,6
2150,9
2153,7
2156,7
2174,1
2176,11
2177,7
2184,6
2187,6
2192,1
2193,7
2194,7
2197,6
2198,6
2201,6
2207,7
2213,6
2214,7
2215,7
2216,6
2228,7
2230,6
2233,6
2239,6
2247,7
2248,8
2249,7
2253,6
2258,6
2262,9
2266,8
2267,1
2268,7
2270,6
2276,8
2280,7
2285,2
2286,6
2290,1
2291,11
2292,9
2293,7
2296,6
2298,8
2304,6
2316,7
2320,11
2321,8
2326,6
2327,7
2335,6
2338,6
2339,6
2341,6
2342,7
2343,8
2345,6
2348,7
2349,7
