Id,Occupation
5,4
6,7
11,3
12,6
13,7
17,6
26,4
32,3
33,4
38,3
41,3
44,7
47,7
48,2
49,0
57,0
58,3
60,7
63,7
66,7
67,3
72,7
73,3
74,0
75,7
78,0
80,3
81,3
82,6
87,7
88,4
89,4
92,7
95,6
96,0
98,3
100,7
101,7
103,0
104,3
106,7
107,4
111,7
112,4
115,7
119,3
121,1
123,6
124,7
128,3
132,3
134,7
136,4
137,4
138,3
139,3
140,7
142,7
143,0
148,4
149,3
150,7
151,7
154,3
158,7
162,7
164,7
166,0
178,7
180,4
188,0
192,0
193,4
196,3
202,0
208,7
209,3
210,3
214,3
217,6
222,8
225,6
229,7
236,4
242,7
244,6
253,7
255,7
257,0
259,0
263,7
266,4
277,4
285,3
291,7
293,0
295,3
313,0
314,4
318,0
320,7
321,6
322,3
325,4
327,7
331,6
333,3
341,0
342,7
344,4
348,3
350,0
357,3
364,0
368,4
372,7
376,7
380,7
386,1
390,7
393,0
396,3
398,0
401,4
404,6
409,6
410,3
411,6
419,0
423,0
428,7
436,4
440,6
442,0
443,7
445,3
447,7
449,7
450,0
452,7
454,7
457,7
458,7
465,4
467,7
468,3
470,3
471,0
472,7
473,7
478,0
481,4
482,3
486,3
487,7
493,0
498,4
503,3
504,4
505,6
508,3
509,7
513,6
515,7
518,7
519,4
524,4
531,4
533,7
539,7
544,3
549,3
550,4
558,7
562,3
571,4
572,3
573,1
574,7
576,0
577,7
579,0
587,0
588,3
590,0
598,7
599,0
601,3
602,7
605,0
607,7
610,6
612,0
613,4
616,7
621,0
622,6
624,7
630,2
634,0
636,7
639,3
640,3
641,7
647,3
648,6
649,7
651,6
652,7
659,3
661,0
662,6
663,4
667,3
670,2
671,7
674,7
675,6
679,0
684,6
687,4
688,7
692,7
695,7
699,6
703,7
705,7
708,7
711,7
717,7
720,4
725,7
726,4
731,7
732,7
733,4
734,7
737,7
751,7
753,7
754,3
757,7
758,0
769,0
770,6
774,7
778,4
784,4
790,7
793,4
795,7
799,7
802,7
803,4
804,6
808,4
812,7
814,7
815,7
817,7
820,0
821,4
823,4
829,3
831,4
836,3
837,4
839,3
845,7
847,7
850,7
853,7
859,3
868,7
870,6
873,7
875,3
878,6
880,4
882,7
884,7
885,7
892,4
895,7
902,4
905,0
906,7
908,1
911,0
915,7
916,7
917,7
920,0
923,7
928,0
930,7
931,7
932,4
933,7
935,7
