Id,Occupation
5,0
6,0
11,3
12,0
13,11
17,11
26,0
32,0
33,10
38,0
41,0
44,10
47,11
48,11
49,0
57,11
58,0
60,0
63,3
66,10
67,10
72,0
73,0
74,10
75,10
78,10
80,10
81,0
82,7
87,7
88,11
89,10
92,10
95,0
96,10
98,7
100,0
101,0
103,10
104,0
106,0
107,11
111,10
112,10
115,10
119,10
121,10
123,10
124,10
128,7
132,7
134,0
136,3
137,11
138,7
139,10
140,10
142,10
143,7
148,10
149,10
150,11
151,3
154,10
158,10
162,10
164,10
166,10
178,10
180,0
188,3
192,10
193,10
196,7
202,10
208,0
209,10
210,7
214,10
217,10
222,7
225,10
229,10
236,10
242,10
244,0
253,0
255,10
257,7
259,10
263,10
266,0
277,10
285,3
291,10
293,10
295,10
313,7
314,0
318,10
320,10
321,10
322,10
325,10
327,10
331,10
333,10
341,10
342,10
344,0
348,0
350,10
357,0
364,10
368,0
372,10
376,7
380,7
386,10
390,10
393,7
396,7
398,7
401,10
404,10
409,10
410,7
411,0
419,7
423,7
428,3
436,10
440,10
442,7
443,7
445,10
447,10
449,10
450,10
452,10
454,7
457,7
458,10
465,10
467,10
468,10
470,10
471,0
472,10
473,7
478,6
481,7
482,7
486,7
487,10
493,0
498,10
503,7
504,10
505,10
508,10
509,7
513,10
515,10
518,7
519,0
524,10
531,0
533,0
539,11
544,3
549,10
550,7
558,10
562,7
571,10
572,10
573,10
574,10
576,10
577,7
579,10
587,7
588,7
590,7
598,10
599,7
601,7
602,0
605,7
607,10
610,0
612,10
613,7
616,0
621,7
622,7
624,7
630,7
634,10
636,10
639,3
640,10
641,0
647,7
648,0
649,11
651,7
652,0
659,7
661,10
662,7
663,7
667,7
670,7
671,7
674,0
675,0
679,10
684,0
687,10
688,10
692,7
695,10
699,10
703,10
705,10
708,10
711,7
717,7
720,10
725,10
726,10
731,10
732,7
733,0
734,7
737,10
751,10
753,10
754,7
757,0
758,10
769,10
770,10
774,10
778,10
784,10
790,7
793,7
795,0
799,10
802,7
803,7
804,7
808,10
812,10
814,10
815,0
817,0
820,10
821,7
823,7
829,0
831,7
836,11
837,10
839,7
845,7
847,7
850,7
853,8
859,7
868,0
870,7
873,11
875,7
878,7
880,7
882,0
884,0
885,0
892,0
895,10
902,7
905,0
906,7
908,10
911,7
915,10
916,0
917,7
920,3
923,0
928,10
930,10
931,11
932,3
933,7
935,7
940,11
944,7
945,7
949,7
950,7
951,10
952,7
955,0
956,7
958,10
959,11
960,8
970,7
971,7
973,10
974,7
975,7
980,7
981,7
988,7
989,7
996,7
999,7
1001,10
1008,0
1012,7
1014,10
1017,7
1023,0
1024,10
1027,10
1028,0
1037,10
1038,7
1050,7
1051,7
1052,7
1061,10
1065,0
1074,7
1076,7
1079,0
1092,0
1103,10
1104,7
1108,10
1110,7
1116,10
1126,7
1133,10
1138,7
1139,10
1142,7
1143,7
1145,7
1147,7
1148,7
1152,0
1153,10
1156,10
1160,7
1161,10
1163,7
1167,7
1170,0
1171,7
1177,10
1180,7
1182,7
1191,0
1192,0
1194,0
1201,7
1207,7
1210,10
1211,10
1217,7
1219,10
1221,7
1223,7
1224,7
1229,3
1230,10
1232,10
1238,7
1243,7
1249,0
1253,0
1258,10
1262,7
1269,10
1271,7
1277,10
1278,10
1280,11
1281,7
1282,0
1283,7
1285,0
1287,7
1288,7
1289,7
1290,7
1295,7
1297,10
1301,7
1303,0
1304,0
1306,10
1311,7
1324,7
1325,7
1339,7
1343,10
1355,7
1361,7
1364,0
1368,7
1369,7
1371,7
1372,0
1373,10
1381,7
1383,0
1384,7
1386,7
1387,0
1393,0
1396,7
1397,0
1398,7
1402,7
1408,7
1410,7
1416,0
1422,7
1425,10
1441,7
1442,7
1445,10
1451,10
1453,0
1454,7
1458,7
1459,10
1462,0
1468,7
1483,0
1488,10
1489,7
1491,7
1492,10
1495,10
1497,7
1498,7
1499,11
1506,0
1507,7
1508,7
1517,7
1521,0
1531,0
1534,7
1535,7
1539,7
1540,0
1541,10
1542,10
1544,7
1547,10
1554,7
1557,7
1558,0
1560,10
1568,10
1571,0
1592,7
1596,0
1603,0
1604,0
1605,0
1606,7
1607,7
1608,7
1609,0
1611,0
1619,7
1623,7
1624,10
1628,7
1636,7
1637,0
1639,7
1641,7
1649,7
1654,7
1655,7
1660,7
1661,10
1662,7
1663,7
1668,7
1671,7
1672,0
1675,7
1679,7
1681,7
1682,0
1683,7
1684,10
1688,7
1690,7
1691,7
1692,7
1694,7
1695,7
1697,0
1700,10
1701,7
1702,0
1710,10
1721,7
1723,0
1727,10
1732,7
1733,7
1735,7
1737,7
1739,7
