Id,Occupation
5,0
6,0
11,5
12,7
13,10
17,10
26,11
32,10
33,10
38,3
41,7
44,0
47,7
48,4
49,0
57,6
58,0
60,0
63,6
66,0
67,0
72,3
73,7
74,6
75,7
78,6
80,7
81,6
82,3
87,7
88,6
89,10
92,10
95,0
96,3
98,7
100,7
101,7
103,10
104,0
106,0
107,7
111,3
112,7
115,7
119,7
121,7
123,6
124,0
128,6
132,3
134,0
136,3
137,3
138,7
139,7
140,7
142,0
143,6
148,7
149,7
150,7
151,3
154,7
158,6
162,7
164,7
166,0
178,7
180,0
188,7
192,0
193,7
196,7
202,7
208,7
209,6
210,6
214,7
217,6
222,3
225,7
229,3
236,7
242,3
244,0
253,6
255,7
257,7
259,6
263,0
266,0
277,6
285,6
291,7
293,0
295,7
313,3
314,0
318,7
320,7
321,0
322,7
325,0
327,0
331,7
333,0
341,3
342,6
344,0
348,0
350,0
357,0
364,10
368,0
372,3
376,3
380,7
386,10
390,10
393,7
396,3
398,6
401,7
404,3
409,3
410,3
411,7
419,7
423,7
428,0
436,6
440,7
442,7
443,7
445,3
447,2
449,7
450,7
452,0
454,6
457,7
458,6
465,10
467,7
468,7
470,3
471,7
472,0
473,7
478,7
481,7
482,7
486,3
487,10
493,0
498,7
503,7
504,7
505,7
508,10
509,7
513,7
515,7
518,7
519,0
524,7
531,7
533,0
539,7
544,3
549,10
550,3
558,6
562,7
571,7
572,7
573,6
574,7
576,10
577,7
579,7
587,7
588,3
590,3
598,0
599,7
601,7
602,0
605,7
607,7
610,5
612,7
613,7
616,0
621,6
622,7
624,7
630,7
634,0
636,7
639,7
640,7
641,7
647,6
648,0
649,7
651,3
652,0
659,7
661,7
662,3
663,7
667,3
670,7
671,4
674,0
675,0
679,7
684,0
687,7
688,0
692,7
695,0
699,10
703,6
705,7
708,7
711,3
717,7
720,6
725,10
726,6
731,7
732,7
733,0
734,7
737,6
751,4
753,0
754,3
757,0
758,10
769,7
770,7
774,0
778,7
784,0
790,3
793,3
795,0
799,7
802,7
803,3
804,7
808,7
812,7
814,10
815,7
817,0
820,10
821,6
823,7
829,0
831,7
836,6
837,7
839,6
845,7
847,7
850,3
853,7
859,3
868,0
870,6
873,7
875,7
878,6
880,6
882,0
884,0
885,0
892,0
895,7
902,7
905,0
906,3
908,6
911,3
915,3
916,0
917,6
920,7
923,0
928,7
930,7
931,7
932,7
933,7
935,7
940,7
944,3
945,7
949,6
950,7
951,7
952,7
955,0
956,7
958,7
959,7
960,0
970,3
971,7
973,10
974,7
975,6
980,7
981,3
988,4
989,7
996,7
999,3
1001,7
1008,7
1012,3
1014,3
1017,7
1023,0
1024,7
1027,0
1028,7
1037,10
1038,3
1050,7
1051,7
1052,5
1061,7
1065,0
1074,7
1076,7
1079,0
1092,0
1103,6
1104,3
1108,7
1110,6
1116,7
1126,7
1133,7
1138,7
1139,7
1142,7
1143,6
1145,7
1147,7
1148,3
1152,0
1153,4
1156,7
1160,7
1161,7
1163,3
1167,6
1170,7
1171,7
1177,7
1180,6
1182,3
1191,0
1192,7
1194,0
1201,3
1207,7
1210,0
1211,7
1217,7
1219,3
1221,6
1223,7
1224,7
1229,7
1230,3
1232,7
1238,7
1243,7
1249,0
1253,0
1258,7
1262,3
1269,0
1271,7
1277,6
1278,7
1280,7
1281,7
1282,0
1283,7
1285,0
1287,7
1288,6
1289,6
1290,5
1295,7
1297,4
1301,7
1303,0
1304,0
1306,7
1311,6
1324,7
1325,7
1339,7
1343,7
1355,7
1361,7
1364,7
1368,3
1369,6
1371,7
1372,0
1373,7
1381,3
1383,0
1384,3
1386,7
1387,0
1393,7
1396,7
1397,7
1398,7
1402,7
1408,7
1410,7
1416,0
1422,6
1425,7
1441,7
1442,7
1445,10
1451,7
1453,7
1454,3
1458,7
1459,7
1462,7
1468,7
1483,0
1488,7
1489,7
1491,7
1492,7
1495,10
1497,7
1498,7
1499,7
1506,0
1507,4
1508,7
1517,7
1521,7
1531,0
1534,7
1535,7
1539,7
1540,0
1541,10
1542,7
1544,3
1547,3
1554,7
1557,7
1558,0
1560,0
1568,7
1571,0
1592,7
1596,7
1603,0
1604,7
1605,7
1606,7
1607,3
1608,7
1609,0
1611,7
1619,3
1623,3
1624,7
1628,3
1636,7
1637,7
1639,7
1641,7
1649,7
1654,3
1655,7
1660,4
1661,6
1662,7
1663,7
1668,7
1671,7
1672,0
1675,7
1679,6
1681,3
1682,0
1683,3
1684,7
1688,7
1690,6
1691,3
1692,3
1694,7
1695,7
1697,0
1700,0
1701,6
1702,0
1710,10
1721,3
1723,0
1727,10
1732,6
1733,7
1735,3
1737,7
1739,7
