Id,Occupation
5,7
6,5
11,5
12,5
13,7
17,7
26,2
32,7
33,10
38,10
41,5
44,7
47,5
48,10
49,0
57,7
58,2
60,7
63,8
66,11
67,7
72,9
73,7
74,0
75,10
78,7
80,11
81,7
82,7
87,10
88,7
89,10
92,10
95,9
96,10
98,0
100,10
101,9
103,7
104,11
106,10
107,2
111,2
112,2
115,3
119,11
121,10
123,9
124,11
128,2
132,7
134,7
136,7
137,11
138,5
139,5
140,10
142,3
143,5
148,0
149,7
150,10
151,2
154,11
158,7
162,7
164,5
166,10
178,10
180,7
188,10
192,7
193,3
196,11
202,5
208,7
209,11
210,5
214,7
217,7
222,10
225,7
229,10
236,10
242,2
244,7
253,10
255,7
257,7
259,11
263,10
266,2
277,11
285,2
291,7
293,9
295,10
313,7
314,11
318,1
320,10
321,0
322,10
325,10
327,5
331,10
333,2
341,10
342,10
344,7
348,5
350,2
357,10
364,10
368,10
372,9
376,7
380,11
386,10
390,10
393,11
396,7
398,2
401,7
404,11
409,5
410,7
411,7
419,8
423,10
428,2
436,9
440,10
442,10
443,7
445,10
447,10
449,0
450,5
452,11
454,7
457,10
458,11
465,10
467,2
468,10
470,11
471,7
472,7
473,10
478,7
481,11
482,7
486,7
487,0
493,2
498,10
503,8
504,3
505,0
508,11
509,5
513,9
515,5
518,9
519,5
524,7
531,9
533,2
539,9
544,7
549,5
550,11
558,10
562,10
571,5
572,2
573,7
574,11
576,10
577,10
579,5
587,10
588,5
590,7
598,11
599,9
601,5
602,2
605,7
607,9
610,5
612,7
613,7
616,5
621,11
622,0
624,8
630,10
634,9
636,10
639,9
640,2
641,9
647,2
648,7
649,9
651,7
652,11
659,5
661,5
662,7
663,9
667,5
670,5
671,5
674,2
675,7
679,0
684,10
687,7
688,5
692,8
695,7
699,9
703,10
705,2
708,10
711,10
717,10
720,8
725,2
726,10
731,10
732,11
733,9
734,11
737,7
751,10
753,9
754,5
757,8
758,7
769,7
770,10
774,2
778,7
784,10
790,7
793,10
795,9
799,5
802,5
803,7
804,7
808,5
812,7
814,11
815,9
817,10
820,7
821,3
823,7
829,0
831,5
836,5
837,10
839,11
845,7
847,10
850,2
853,2
859,11
868,2
870,10
873,7
875,10
878,11
880,2
882,9
884,5
885,7
892,5
895,2
902,7
905,7
906,7
908,7
911,5
915,2
916,2
917,7
920,10
923,2
928,7
930,5
931,2
932,9
933,11
935,11
940,5
944,7
945,8
949,5
950,7
951,5
952,7
955,7
956,7
958,5
959,7
960,9
970,10
971,5
973,2
974,5
975,2
980,7
981,7
988,9
989,7
996,9
999,11
1001,9
1008,2
1012,7
1014,10
1017,5
1023,11
1024,11
1027,9
1028,9
1037,7
1038,7
1050,10
1051,0
1052,7
1061,10
1065,7
1074,0
1076,5
1079,9
1092,3
1103,5
1104,11
1108,10
1110,2
1116,7
1126,10
1133,7
1138,2
1139,7
1142,11
1143,7
1145,11
1147,5
1148,10
1152,10
1153,7
1156,5
1160,2
1161,10
1163,10
1167,11
1170,9
1171,11
1177,10
1180,11
1182,11
1191,10
1192,8
1194,9
1201,7
1207,0
1210,2
1211,10
1217,2
1219,7
1221,7
1223,8
1224,9
1229,3
1230,10
1232,10
1238,8
1243,5
1249,11
1253,9
1258,7
1262,10
1269,7
1271,8
1277,7
1278,10
1280,7
1281,8
1282,3
1283,10
1285,5
1287,8
1288,7
1289,8
1290,7
1295,10
1297,9
1301,8
1303,2
1304,2
1306,5
1311,7
1324,7
1325,10
1339,7
1343,10
1355,7
1361,0
1364,7
1368,2
1369,8
1371,11
1372,10
1373,7
1381,7
1383,11
1384,7
1386,8
1387,8
1393,9
1396,5
1397,9
1398,5
1402,7
1408,9
1410,11
1416,2
1422,8
1425,7
1441,3
1442,11
1445,10
1451,7
1453,7
1454,2
1458,7
1459,5
1462,7
1468,7
1483,8
1488,9
1489,3
1491,8
1492,7
1495,10
1497,7
1498,7
1499,8
1506,7
1507,7
1508,2
1517,8
1521,9
1531,2
1534,7
1535,7
1539,7
1540,10
1541,7
1542,11
1544,7
1547,9
1554,10
1557,11
1558,7
1560,10
1568,10
1571,2
1592,10
1596,7
1603,9
1604,7
1605,11
1606,5
1607,10
1608,3
1609,5
1611,9
1619,5
1623,10
1624,5
1628,11
1636,5
1637,11
1639,8
1641,10
1649,0
1654,7
1655,10
1660,7
1661,2
1662,10
1663,8
1668,5
1671,10
1672,5
1675,8
1679,7
1681,7
1682,7
1683,7
1684,10
1688,8
1690,2
1691,7
1692,7
1694,5
1695,7
1697,3
1700,2
1701,0
1702,10
1710,2
1721,10
1723,5
1727,2
1732,2
1733,7
1735,2
1737,5
1739,5
1741,7
1742,7
1743,7
1745,5
1746,7
1749,0
1751,9
1753,9
1754,2
1756,7
1757,7
1758,2
1759,5
1760,9
1764,10
1765,10
1766,7
1772,9
1773,5
1775,7
1776,11
1777,10
1781,5
1787,11
1792,9
1798,9
1801,5
1806,7
1808,11
1812,7
1814,3
1819,11
1821,5
1823,5
1824,3
1827,0
1831,2
1832,7
1833,8
1836,11
1837,8
1839,7
1840,8
1847,5
1848,9
1851,7
1852,0
1856,10
1863,2
1864,11
1868,7
1876,9
1877,9
1888,11
1889,10
1890,5
1898,10
1899,7
1904,9
1908,7
1911,2
1912,2
1913,7
1914,2
1923,7
1924,5
1926,5
1928,11
1931,7
1932,5
1937,7
1939,5
1944,5
1948,7
1951,8
1952,7
1957,7
1966,7
1967,7
1968,5
1970,7
1971,10
1973,10
1974,7
1977,9
1981,5
1995,7
1998,5
2001,7
2002,5
2006,10
2010,7
2012,11
2016,5
2018,10
2019,0
2022,11
2026,5
2027,7
2028,10
2034,7
2038,10
2041,7
2042,2
2045,11
2052,10
2058,8
2060,7
2067,10
2068,7
2071,10
2075,8
2084,11
2086,9
2090,10
2094,2
2095,8
2098,7
2102,8
2104,11
2106,2
2108,10
2109,5
2113,10
2115,5
2119,10
2122,11
2125,10
2126,7
2130,0
2135,5
2138,7
2147,2
2150,10
2153,2
2156,7
2174,0
2176,7
2177,7
2184,7
2187,7
2192,10
