Id,Occupation
5,0
6,0
11,6
12,7
13,10
17,7
26,0
32,10
33,10
38,7
41,7
44,0
47,7
48,7
49,0
57,7
58,0
60,0
63,7
66,0
67,0
72,7
73,7
74,7
75,7
78,7
80,7
81,7
82,4
87,7
88,4
89,7
92,10
95,0
96,7
98,7
100,7
101,7
103,10
104,0
106,0
107,4
111,3
112,7
115,7
119,7
121,7
123,6
124,0
128,6
132,6
134,0
136,6
137,6
138,7
139,7
140,7
142,0
143,7
148,7
149,7
150,7
151,7
154,7
158,7
162,3
164,7
166,0
178,7
180,0
188,7
192,0
193,7
196,7
202,7
208,7
209,7
210,7
214,7
217,7
222,7
225,7
229,7
236,7
242,7
244,0
253,7
255,7
257,3
259,7
263,0
266,0
277,7
285,3
291,4
293,0
295,7
313,7
314,0
318,7
320,7
321,0
322,7
325,0
327,0
331,7
333,0
341,7
342,7
344,0
348,0
350,0
357,0
364,10
368,0
372,7
376,7
380,7
386,10
390,7
393,7
396,3
398,7
401,7
404,7
409,7
410,3
411,7
419,7
423,7
428,0
436,7
440,7
442,7
443,3
445,7
447,7
449,7
450,7
452,0
454,7
457,7
458,7
465,10
467,7
468,7
470,7
471,7
472,0
473,7
478,7
481,7
482,7
486,7
487,10
493,0
498,7
503,7
504,7
505,7
508,10
509,3
513,7
515,7
518,7
519,0
524,7
531,7
533,0
539,7
544,7
549,7
550,7
558,7
562,7
571,7
572,7
573,7
574,7
576,7
577,7
579,7
587,7
588,7
590,3
598,0
599,7
601,7
602,0
605,7
607,7
610,0
612,7
613,3
616,0
621,7
622,7
624,7
630,7
634,0
636,7
639,7
640,4
641,7
647,7
648,0
649,7
651,7
652,0
659,7
661,7
662,3
663,7
667,6
670,7
671,7
674,0
675,0
679,7
684,0
687,7
688,0
692,7
695,0
699,10
703,7
705,7
708,7
711,7
717,7
720,7
725,10
726,7
731,7
732,7
733,0
734,7
737,7
751,7
753,0
754,7
757,0
758,10
769,7
770,7
774,0
778,7
784,0
790,3
793,6
795,0
799,7
802,7
803,7
804,7
808,7
812,7
814,10
815,7
817,0
820,7
821,7
823,7
829,0
831,7
836,3
837,7
839,7
845,7
847,7
850,7
853,7
859,7
868,0
870,7
873,7
875,7
878,7
880,7
882,0
884,0
885,0
892,0
895,7
902,7
905,0
906,3
908,7
911,7
915,7
916,0
917,6
920,7
923,0
928,7
930,7
931,6
932,7
933,7
935,7
940,7
944,7
945,7
949,7
950,7
951,7
952,7
955,0
956,7
958,7
959,7
960,0
970,7
971,7
973,10
974,7
975,7
980,7
981,7
988,4
989,7
996,7
999,7
1001,7
1008,7
1012,7
1014,7
1017,7
1023,0
1024,7
1027,0
1028,7
1037,10
1038,7
1050,7
1051,7
1052,7
1061,3
1065,0
1074,7
1076,7
1079,0
1092,0
1103,7
1104,7
1108,7
1110,7
1116,7
1126,7
1133,7
1138,7
1139,7
1142,7
1143,7
1145,7
1147,7
1148,7
1152,0
1153,7
1156,7
1160,7
1161,7
1163,7
1167,7
1170,7
1171,7
1177,7
1180,7
1182,7
1191,0
1192,7
1194,0
1201,3
1207,7
1210,0
1211,7
1217,7
1219,3
1221,7
1223,7
1224,7
1229,7
1230,7
1232,7
1238,7
1243,7
1249,0
1253,0
1258,7
1262,7
1269,0
1271,7
1277,7
1278,7
1280,7
1281,7
1282,0
1283,7
1285,0
1287,7
1288,7
1289,7
1290,7
1295,7
1297,7
1301,7
1303,0
1304,0
1306,7
1311,3
1324,7
1325,7
1339,7
1343,7
1355,7
1361,7
1364,7
1368,7
1369,7
1371,7
1372,0
1373,7
1381,7
1383,0
1384,3
1386,7
1387,0
1393,7
1396,3
1397,7
1398,7
1402,7
1408,7
1410,7
1416,0
1422,7
1425,7
1441,7
1442,3
1445,10
1451,7
1453,7
1454,7
1458,7
1459,7
1462,7
1468,7
1483,0
1488,7
1489,7
1491,7
1492,7
1495,10
1497,7
1498,7
1499,7
1506,0
1507,7
1508,7
1517,7
1521,7
1531,0
1534,7
1535,7
1539,7
1540,0
1541,10
1542,7
1544,7
1547,7
1554,7
1557,7
1558,0
1560,0
1568,7
1571,0
1592,3
1596,7
1603,0
1604,7
1605,7
1606,7
1607,7
1608,7
1609,0
1611,7
1619,7
1623,7
1624,7
1628,7
1636,7
1637,7
1639,7
1641,7
1649,7
1654,3
1655,7
1660,4
1661,7
1662,7
1663,7
1668,7
1671,7
1672,0
1675,7
1679,7
1681,7
1682,0
1683,7
1684,7
1688,7
1690,7
1691,3
1692,3
1694,7
1695,7
1697,0
1700,0
1701,7
1702,0
1710,10
1721,7
1723,0
1727,10
1732,7
1733,7
1735,7
1737,7
1739,7
